cell_peclet,central_margin,central_max_abs,central_solved,m_matrix_predicted,score_mag,upwind_margin,upwind_max_abs,upwind_solved
0.5,1.0,0.755169344827399,True,True,0.5,1.0,0.7290568973950289,True
1.0,1.0,0.7513859196491098,True,True,1.0,1.0,0.7071045179404124,True
1.9,1.0,0.7704738904241335,True,True,1.9,1.0,0.6734394831490854,True
2.0,1.0,0.7841016984642207,True,True,2.0,1.0,0.6702491731156898,True
2.1,0.8125,0.7978864576191095,True,False,2.1,1.0,0.6671641382979491,True
2.4,0.25,0.8395719316737564,True,False,2.4,1.0,0.6614257858707538,True
2.5,0.0625,0.8533901939060825,True,False,2.5,1.0,0.6609062386886041,True
2.6,-0.125,0.8670863322027649,True,False,2.6,1.0,0.6603736976326396,True
3.0,-0.875,11524.668297770178,False,False,3.0,1.0,0.6581719353341196,True
5.0,-4.625,6.434393252960604e+41,False,False,5.0,1.0,0.6508927234966067,True
25.0,-42.125,1.7943003815183485e+143,False,False,25.0,1.0,0.6404013741101786,True
